"mem_signup_month","num_days_as_member","acquisition_source","days_between_first_and_second_order","days_between_second_and_third_order","days_between_third_and_fourth_order","days_between_fourth_and_fifth_order","spicy_preference_index","sweet_preference_index","tart_preference_index","has_purchased_a_limited_edition_sku","has_spent_more_than_50_dollars"
12,353,"friends/family",0,0,0,0,0.125,0.2,0.3125,1,0
12,349,"unknown",0,0,0,0,0.2,0.36,0.4,0,1
12,334,"friends/family",0,0,0,0,0,0,0,0,0
12,336,"friends/family",331,0,0,0,0,0.4,0.3928,0,1
12,353,"unknown",319,0,0,0,0.24,0.3333,0.2666,0,1
1,322,"youtube",102,0,0,0,0.3777,0.2,0.3888,0,0
1,324,"podcast",0,0,0,0,0.2181,0.2545,0.3181,0,0
11,366,"unknown",0,0,0,0,0,0.1333,0.1666,0,0
12,337,"friends/family",0,0,0,0,0,0.5,0.3125,0,0
12,356,"podcast",79,0,0,0,0.1142,0.1714,0.2857,0,0
12,349,"friends/family",109,60,49,58,0,0.7263,0.3421,0,1
11,358,"friends/family",0,0,0,0,0.2,0.2,0.5,0,0
1,322,"unknown",0,0,0,0,0.1,0.375,0.375,0,0
12,356,"unknown",266,0,0,0,0.0909,0.509,0.2727,0,1
12,355,"unknown",117,0,0,0,0.2095,0.3809,0.4523,0,1
12,350,"friends/family",0,0,0,0,0.225,0.5,0.4375,0,0
11,358,"unknown",193,0,0,0,0.1866,0.4266,0.4,1,1
12,340,"facebook",0,0,0,0,0.2222,0.2666,0.2222,0,0
1,325,"friends/family",32,135,0,0,0.0206,0.5586,0.2586,0,1
12,356,"friends/family",19,0,0,0,0.0666,0.4833,0.2916,0,0
12,340,"unknown",0,0,0,0,0.36,0.28,0.5,0,0
12,345,"youtube",31,210,74,0,0.0533,0.3733,0.3,0,1
1,322,"unknown",0,0,0,0,0.025,0.525,0.375,0,0
11,364,"podcast",25,40,58,211,0.0641,0.3584,0.2924,1,1
12,326,"unknown",0,0,0,0,0.0222,0.3555,0.3333,0,0
11,365,"friends/family",0,0,0,0,0,0.4444,0.3333,0,0
1,321,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,342,"friends/family",0,0,0,0,0.04,0.28,0.3,0,0
1,321,"unknown",33,49,74,75,0.0772,0.3863,0.2613,0,1
12,342,"unknown",0,0,0,0,0,0.6,0.5,0,0
11,358,"unknown",69,45,132,20,0,0.3354,0.3548,0,1
12,328,"friends/family",243,0,0,0,0.1285,0.4285,0.3571,0,0
12,342,"friends/family",0,0,0,0,0.02,0.32,0.25,0,0
1,323,"friends/family",0,0,0,0,0,0.7,0.375,0,0
12,328,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,328,"unknown",124,120,0,0,0.0454,0.4454,0.2272,0,1
12,352,"blog",151,0,0,0,0.1285,0.5428,0.3571,0,0
1,325,"friends/family",107,0,0,0,0.1875,0.2,0.3125,1,0
11,366,"facebook",148,35,182,0,0.1576,0.4346,0.2884,0,1
12,331,"friends/family",15,6,59,36,0.1058,0.347,0.3676,1,1
12,351,"friends/family",0,0,0,0,0,0.9,0.25,0,0
12,331,"unknown",11,35,38,17,0,0.6033,0.3083,0,1
12,344,"friends/family",0,1,7,3,0.0062,0.3625,0.2578,0,1
12,329,"friends/family",0,0,0,0,0,0.35,0.3125,1,0
12,339,"friends/family",0,0,0,0,0.1777,0.2444,0.2777,1,0
12,328,"podcast",0,0,0,0,0,0.16,0.3,0,0
1,325,"unknown",238,52,0,0,0,0.6727,0.3636,0,1
12,344,"unknown",338,0,0,0,0.1333,0.1,0.3333,0,0
12,348,"podcast",0,0,0,0,0.2,0.32,0.3,0,0
12,346,"youtube",16,0,0,0,0.0057,0.3542,0.3142,1,1
12,346,"friends/family",17,44,98,183,0,0.5277,0.3194,0,1
12,356,"facebook",0,0,0,0,0,0.2,0.5,0,0
12,330,"blog",133,178,0,0,0,0.22,0.15,0,1
12,332,"friends/family",0,0,0,0,0.1,0.35,0.25,1,0
12,327,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,342,"facebook",0,0,0,0,0,0.35,0.125,0,0
11,357,"friends/family",27,0,0,0,0.0117,0.247,0.3235,0,0
12,339,"friends/family",0,0,0,0,0,0,0.25,0,0
12,356,"unknown",227,0,0,0,0,0.5,0.2083,0,1
11,359,"friends/family",60,56,38,0,0.2,0.4111,0.3611,0,1
1,321,"friends/family",0,0,0,0,0.125,0.375,0.125,1,0
12,344,"unknown",8,0,0,0,0.0454,0.5363,0.3181,1,0
12,342,"friends/family",0,0,0,0,0,0.35,0.125,0,0
12,344,"podcast",32,0,0,0,0.05,0.325,0.375,0,0
11,358,"radio",245,0,0,0,0,0.4,0.3846,0,0
1,321,"facebook",0,0,0,0,0,0.35,0.125,0,0
12,340,"friends/family",0,0,0,0,0,0.3666,0.25,0,0
12,355,"friends/family",0,0,0,0,0,0.3142,0.2857,0,0
12,351,"unknown",1,1,0,5,0.0456,0.4,0.3157,1,1
11,358,"friends/family",5,21,0,0,0.04,0.32,0.3,1,1
12,326,"unknown",17,5,53,42,0.036,0.2262,0.3114,1,1
12,352,"unknown",2,0,0,0,0.0666,0.4,0.3333,1,0
1,321,"unknown",0,0,0,0,0.16,0.32,0.3,0,0
1,320,"unknown",9,0,0,0,0.0615,0.2923,0.2692,0,0
12,331,"podcast",87,35,60,66,0.0903,0.4,0.3225,1,1
1,321,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,341,"friends/family",98,0,0,0,0.0526,0.3473,0.3684,1,1
11,357,"google",11,0,0,0,0,0.3625,0.3125,0,0
12,326,"friends/family",0,0,0,0,0,0.36,0.4,0,0
11,364,"podcast",247,0,0,0,0.1466,0.3466,0.3,1,1
1,325,"youtube",0,0,0,0,0.0727,0.309,0.3181,0,0
11,362,"unknown",17,0,0,0,0,0.447,0.2647,0,0
1,321,"friends/family",0,0,0,0,0.0888,0.4,0.2777,1,0
12,327,"youtube",0,0,0,0,0,0.44,0.1,0,0
12,349,"unknown",29,94,107,81,0.045,0.405,0.35,0,1
12,344,"blog",0,0,0,0,0,0.3272,0.3181,1,0
12,328,"blog",0,0,0,0,0,0.6285,0.4285,0,0
12,347,"facebook",0,0,0,0,0,0.575,0.4375,1,0
12,336,"youtube",0,0,0,0,0,0.25,0.375,1,0
12,331,"unknown",0,0,0,0,0.02,0.42,0.2,0,0
12,351,"friends/family",0,0,0,0,0.0888,0.3333,0.2777,0,0
12,351,"podcast",14,26,4,18,0.0028,0.5362,0.2826,1,1
1,321,"friends/family",0,0,0,0,0.3714,0.1714,0.3571,0,0
12,351,"facebook",6,3,5,9,0.0034,0.4517,0.3275,0,1
12,353,"unknown",40,63,0,0,0.0413,0.3172,0.3275,1,1
12,345,"target",0,0,0,0,0,0.22,0.25,0,0
12,326,"friends/family",0,0,0,0,0,0.35,0.375,0,0
12,351,"podcast",0,0,0,0,0,0.4857,0.5,0,0
1,323,"catalog/mailer",0,0,0,0,0.2,0.3777,0.3333,0,0
12,328,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,339,"podcast",15,0,0,0,0.24,0.2666,0.3,0,1
12,343,"facebook",0,0,0,0,0,0.275,0.3125,1,0
12,328,"youtube",0,0,0,0,0.1,0.275,0.25,0,0
1,321,"unknown",40,210,0,0,0.0421,0.4561,0.3508,1,1
12,334,"friends/family",0,0,0,0,0.125,0.55,0.375,0,0
1,322,"catalog/mailer",0,0,0,0,0,0.6,0.5,0,0
11,359,"unknown",345,0,0,0,0,0.625,0.3125,0,1
12,326,"unknown",0,0,0,0,0,0.6,0.4166,0,0
12,353,"unknown",0,0,0,0,0.1666,0.4333,0.3333,1,0
12,342,"friends/family",0,0,0,0,0.025,0.575,0.5,0,0
1,323,"podcast",47,27,0,0,0.0461,0.4846,0.3076,0,1
12,337,"friends/family",0,0,0,0,0.1142,0.2285,0.2857,0,0
11,357,"youtube",6,77,139,57,0.125,0.3562,0.3437,1,1
12,326,"facebook",0,0,0,0,0,0.4222,0.2222,0,0
11,362,"unknown",55,40,64,27,0,0.4931,0.4051,0,1
12,341,"facebook",14,0,0,0,0.0133,0.3733,0.4333,0,0
12,331,"friends/family",0,0,0,0,0,0.4363,0.3181,0,0
11,358,"facebook",357,0,0,0,0.0444,0.2888,0.3333,1,1
12,346,"friends/family",0,0,0,0,0,0.275,0.3125,1,0
12,344,"friends/family",0,0,0,0,0,0.275,0.3125,1,0
12,343,"friends/family",13,12,1,0,0.0105,0.421,0.421,0,1
11,358,"friends/family",35,56,209,0,0.1083,0.3916,0.25,0,1
1,323,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,346,"facebook",0,0,0,0,0,0.2,0.3333,0,0
12,327,"facebook",15,2,0,0,0.009,0.509,0.3863,0,1
